,open,high,low,close,volume,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,target_returns,macd_8_24,macd_16_48,macd_32_96,volatility_20d,volatility_60d,cp_rl_21,cp_score_21,label_ret,label_bin,label_t1
2012-04-12 00:00:00+05:30,286.47,289.56,279.01,283.94,76623,-0.011178826397353236,-0.068774392443672,-0.02076148434266789,-0.05457330270036287,-0.08762571896789939,0.008522927379023715,-5.477579681901943,-6.439455452242555,-6.307458686743644,0.020221741346653735,0.017201424230522126,0.0,0.513872,0.008486812292556338,1,2012-04-13 00:00:00+05:30
2012-04-16 00:00:00+05:30,288.75,288.75,281.5,282.89,23007,-0.012117614191926362,-0.09694822192428021,-0.037199646041794265,-0.0683681870574675,-0.11770576677166833,0.0014139771642689425,-5.285041527795329,-6.7032311328064225,-6.791670272673741,0.020399687002023825,0.017215150034714924,0.0,0.5158661,-0.01413312715038101,-1,2012-04-25 00:00:00+05:30
2012-04-18 00:00:00+05:30,287.75,290.17,280.87,285.52,144851,0.007871792156447288,-0.05356669318483165,-0.023829874525624906,-0.06515617837731658,-0.11436458947237815,-0.003432333987111069,-4.805148410442655,-6.77117289794802,-7.176746200584375,0.019763578551025774,0.017216889326412486,0.0,0.50794536,-0.013291926262019175,-1,2012-04-23 00:00:00+05:30
2012-04-20 00:00:00+05:30,284.5,286.91,281.91,283.12,22014,-0.004990511000210973,-0.036646364285957245,-0.05114283799182251,-0.09241865683603134,-0.08588402427999486,-0.0048389375529810374,-4.479495760333407,-6.8026801033505535,-7.518199473827849,0.019245752718763595,0.01701945234312918,0.0,0.5045828,-0.014945833684397964,-1,2012-04-25 00:00:00+05:30
2012-04-25 00:00:00+05:30,281.33,281.33,276.78,278.92,30788,-0.013231444137833503,-0.08640681297084829,-0.0732323232323231,-0.0974923151593593,-0.1305757301829743,-0.00043023089057792063,-4.725381980452198,-7.173779180150007,-8.174592537179194,0.010590893353113646,0.017001971289787126,0.0,0.5184418,-0.011321555939214963,-1,2012-04-30 00:00:00+05:30
2012-04-30 00:00:00+05:30,279.5,282.12,274.38,275.78,18666,-0.008912527851649643,-0.03505948215535348,-0.10198632367307081,-0.11299089768743387,-0.1334757745239742,-0.005729204438320368,-5.36174470222204,-7.8230065703418745,-8.988116259832793,0.009018079400024746,0.016067950331843443,0.0,0.50947994,-0.00804591579991123,-1,2012-05-04 00:00:00+05:30
2012-05-03 00:00:00+05:30,274.31,280.87,272.03,276.8,15560,0.009482129832239394,-0.028942290826170836,-0.07359684059038119,-0.10930913537342724,-0.1373184566477591,-0.011669075144508767,-5.536566612053264,-8.19940693928055,-9.526716066867607,0.008568065502381605,0.016141283773678308,0.0,0.5104561,-0.011737693129830756,-1,2012-05-04 00:00:00+05:30
2012-05-04 00:00:00+05:30,277.15,279.01,272.5,273.57,10799,-0.011669075144508767,-0.02338283592745971,-0.10755529457819546,-0.14415767245424682,-0.14410412038920006,0.0028146361077603377,-5.752906996501849,-8.444701655464485,-9.826009188888861,0.0071393688150072675,0.016175276691709446,0.0,0.5147715,-0.029340234909326465,-1,2012-05-11 00:00:00+05:30
2012-05-09 00:00:00+05:30,278.54,291.89,270.36,276.33,25992,0.008135716891645162,-0.03968722849695927,-0.09928615665438911,-0.11016294197204879,-0.13305515467151918,-0.013100278652335984,-5.0943172445425375,-8.466675505682247,-10.360916852266428,0.007286689835251073,0.015414815067840329,0.0,0.50816196,-0.013186844155351282,-1,2012-05-10 00:00:00+05:30
2012-05-10 00:00:00+05:30,272.99,278.78,272.03,272.71,13059,-0.013100278652335984,-0.05571329639889211,-0.08572482231460377,-0.1259855137491187,-0.13411652643276717,-0.025851637270360328,-5.165321015703739,-8.573301112517413,-10.577257009840878,0.007653249566482643,0.015254972460483459,0.0,0.5181492,-0.026191663808545238,-1,2012-05-11 00:00:00+05:30
