timestamp,symbol,mid,bid,ask,microprice,spread_bps,imbalance,bid_depth,ask_depth
2026-01-22T06:21:58.963270799+00:00,BANKNIFTY26JAN58900CE,452.2500,451.7978,452.7022,452.2500,20.00,0.0000,150,150
2026-01-22T06:21:58.963412527+00:00,BANKNIFTY26JAN58900CE,452.2500,451.7978,452.7022,452.2500,20.00,0.0000,150,150
2026-01-22T06:21:58.963412527+00:00,BANKNIFTY26JAN58800CE,510.8000,510.2892,511.3108,510.8000,20.00,0.0000,150,150
2026-01-22T06:21:58.963440492+00:00,BANKNIFTY26JAN58900CE,452.2500,451.7978,452.7022,452.2500,20.00,0.0000,150,150
2026-01-22T06:21:58.963440492+00:00,BANKNIFTY26JAN59000CE,395.3500,394.9547,395.7453,395.3500,20.00,0.0000,150,150
2026-01-22T06:21:58.963440492+00:00,BANKNIFTY26JAN58800CE,510.8000,510.2892,511.3108,510.8000,20.00,0.0000,150,150
2026-01-22T06:21:58.963452265+00:00,BANKNIFTY26JAN58900CE,452.2500,451.7978,452.7022,452.2500,20.00,0.0000,150,150
2026-01-22T06:21:58.963452265+00:00,BANKNIFTY26JAN59000CE,395.3500,394.9547,395.7453,395.3500,20.00,0.0000,150,150
2026-01-22T06:21:58.963452265+00:00,BANKNIFTY26JAN58800CE,510.8000,510.2892,511.3108,510.8000,20.00,0.0000,150,150
2026-01-22T06:21:58.963452265+00:00,BANKNIFTY26JAN59100CE,344.1000,343.7559,344.4441,344.1000,20.00,0.0000,150,150
2026-01-22T06:21:58.963463642+00:00,BANKNIFTY26JAN58900CE,452.2500,451.7978,452.7022,452.2500,20.00,0.0000,150,150
2026-01-22T06:21:58.963463642+00:00,BANKNIFTY26JAN59000CE,395.3500,394.9547,395.7453,395.3500,20.00,0.0000,150,150
2026-01-22T06:21:58.963463642+00:00,BANKNIFTY26JAN59200PE,458.3000,457.8417,458.7583,458.3000,20.00,0.0000,150,150
2026-01-22T06:21:58.963463642+00:00,BANKNIFTY26JAN58800CE,510.8000,510.2892,511.3108,510.8000,20.00,0.0000,150,150
2026-01-22T06:21:58.963463642+00:00,BANKNIFTY26JAN59100CE,344.1000,343.7559,344.4441,344.1000,20.00,0.0000,150,150
