ts,close,mom_equity,mr_equity,vm_equity
2026-01-20 00:00:00+00:00,92600.01,100.0,100.0,100.0
2026-01-20 00:01:00+00:00,92619.25,100.0,100.0,100.0
2026-01-20 00:02:00+00:00,92642.68,100.0,100.0,100.0
2026-01-20 00:03:00+00:00,92770.05,100.0,100.0,100.0
2026-01-20 00:04:00+00:00,92767.13,100.0,100.0,100.0
2026-01-20 00:05:00+00:00,92853.1,100.0,100.0,100.0
2026-01-20 00:06:00+00:00,92781.3,100.0,100.0,100.0
2026-01-20 00:07:00+00:00,92729.45,100.0,100.0,100.0
2026-01-20 00:08:00+00:00,92739.88,100.0,100.0,100.0
2026-01-20 00:09:00+00:00,92740.4,100.0,100.0,100.0
2026-01-20 00:10:00+00:00,92792.9,100.0,100.0,100.0
2026-01-20 00:11:00+00:00,92740.01,100.0,100.0,100.0
2026-01-20 00:12:00+00:00,92703.02,100.0,100.0,100.0
2026-01-20 00:13:00+00:00,92681.2,100.0,100.0,100.0
2026-01-20 00:14:00+00:00,92702.46,100.0,100.0,100.0
2026-01-20 00:15:00+00:00,92636.4,100.0,100.0,100.0
2026-01-20 00:16:00+00:00,92638.42,100.0,100.0,100.0
2026-01-20 00:17:00+00:00,92600.01,100.0,100.0,100.0
2026-01-20 00:18:00+00:00,92575.95,100.0,100.0,100.0
2026-01-20 00:19:00+00:00,92595.53,100.0,100.0,100.0
2026-01-20 00:20:00+00:00,92549.96,100.0,100.0,100.0
2026-01-20 00:21:00+00:00,92504.59,100.0,100.0,100.0
2026-01-20 00:22:00+00:00,92504.59,100.0,100.0,100.0
2026-01-20 00:23:00+00:00,92480.0,100.0,100.0,100.0
2026-01-20 00:24:00+00:00,92429.51,100.0,100.0,100.0
2026-01-20 00:25:00+00:00,92403.01,100.0,100.0,100.0
2026-01-20 00:26:00+00:00,92370.25,100.0,100.0,100.0
2026-01-20 00:27:00+00:00,92418.97,100.0,100.0,100.0
2026-01-20 00:28:00+00:00,92446.97,100.0,100.0,100.0
2026-01-20 00:29:00+00:00,92465.63,100.0,100.0,100.0
2026-01-20 00:30:00+00:00,92512.0,100.0,100.0,100.0
2026-01-20 00:31:00+00:00,92548.41,100.0,100.0,100.0
2026-01-20 00:32:00+00:00,92551.99,100.0,100.0,100.0
2026-01-20 00:33:00+00:00,92552.04,100.0,100.0,100.0
2026-01-20 00:34:00+00:00,92513.98,100.0,100.0,100.0
2026-01-20 00:35:00+00:00,92615.38,100.0,100.0,100.0
2026-01-20 00:36:00+00:00,92668.09,100.0,100.0,100.0
2026-01-20 00:37:00+00:00,92665.9,100.0,100.0,100.0
2026-01-20 00:38:00+00:00,92668.09,100.0,100.0,100.0
2026-01-20 00:39:00+00:00,92703.52,100.0,100.0,100.0
2026-01-20 00:40:00+00:00,92691.19,100.0,100.0,100.0
2026-01-20 00:41:00+00:00,92678.62,100.0,100.0,100.0
2026-01-20 00:42:00+00:00,92746.2,100.0,100.0,100.0
2026-01-20 00:43:00+00:00,92733.89,100.0,100.0,100.0
2026-01-20 00:44:00+00:00,92723.45,100.0,100.0,100.0
2026-01-20 00:45:00+00:00,92723.44,100.0,100.0,100.0
2026-01-20 00:46:00+00:00,92721.91,100.0,100.0,100.0
2026-01-20 00:47:00+00:00,92662.01,100.0,100.0,100.0
2026-01-20 00:48:00+00:00,92654.19,100.0,100.0,100.0
2026-01-20 00:49:00+00:00,92658.43,100.0,100.0,100.0
2026-01-20 00:50:00+00:00,92657.06,100.0,100.0,100.0
2026-01-20 00:51:00+00:00,92622.12,100.0,100.0,100.0
2026-01-20 00:52:00+00:00,92722.74,100.0,100.0,100.0
2026-01-20 00:53:00+00:00,92739.67,100.0,100.0,100.0
2026-01-20 00:54:00+00:00,92720.68,100.0,100.0,100.0
2026-01-20 00:55:00+00:00,92692.18,100.0,100.0,100.0
2026-01-20 00:56:00+00:00,92678.63,100.0,100.0,100.0
2026-01-20 00:57:00+00:00,92675.17,100.0,100.0,100.0
2026-01-20 00:58:00+00:00,92655.47,100.0,100.0,100.0
2026-01-20 00:59:00+00:00,92717.9,100.0,100.0,100.0
2026-01-20 01:00:00+00:00,92705.73,100.0,100.0,100.0
2026-01-20 01:01:00+00:00,92642.14,100.0,100.0,100.0
2026-01-20 01:02:00+00:00,92625.88,100.0,100.0,100.0
2026-01-20 01:03:00+00:00,92636.79,100.0,100.0,100.0
2026-01-20 01:04:00+00:00,92709.54,100.0,100.0,100.0
2026-01-20 01:05:00+00:00,92767.12,100.0,100.0,100.0
2026-01-20 01:06:00+00:00,92772.07,100.0,100.0,100.0
2026-01-20 01:07:00+00:00,92755.15,100.0,100.0,100.0
2026-01-20 01:08:00+00:00,92659.69,100.0,100.0,100.0
2026-01-20 01:09:00+00:00,92621.9,100.0,100.0,100.0
2026-01-20 01:10:00+00:00,92600.0,100.0,100.0,100.0
2026-01-20 01:11:00+00:00,92550.32,100.0,100.0,100.0
2026-01-20 01:12:00+00:00,92571.99,100.0,100.0,100.0
2026-01-20 01:13:00+00:00,92716.47,100.0,100.0,100.0
2026-01-20 01:14:00+00:00,92726.47,100.0,100.0,100.0
2026-01-20 01:15:00+00:00,92694.05,100.0,100.0,100.0
2026-01-20 01:16:00+00:00,92661.65,100.0,100.0,100.0
2026-01-20 01:17:00+00:00,92706.02,100.0,100.0,100.0
2026-01-20 01:18:00+00:00,92772.01,100.0,100.0,100.0
2026-01-20 01:19:00+00:00,92780.69,99.98500224966254,100.0,100.0
2026-01-20 01:20:00+00:00,92776.15,99.98010972396335,100.0,100.0
2026-01-20 01:21:00+00:00,92817.37,100.02453040883572,100.0,100.0
2026-01-20 01:22:00+00:00,92807.86,100.0142819684394,100.0,100.0
2026-01-20 01:23:00+00:00,92801.85,100.00780529895657,100.0,100.0
2026-01-20 01:24:00+00:00,92808.02,100.0144543922526,100.0,100.0
2026-01-20 01:25:00+00:00,92813.37,100.02021981350605,100.0,100.0
2026-01-20 01:26:00+00:00,92861.4,100.07197928692719,100.0,100.0
2026-01-20 01:27:00+00:00,92827.96,100.03594270997107,100.0,100.0
2026-01-20 01:28:00+00:00,92841.92,100.05098668767165,100.0,100.0
2026-01-20 01:29:00+00:00,92857.18,100.06743160885438,100.0,100.0
2026-01-20 01:30:00+00:00,92842.67,100.05179492429596,100.0,100.0
2026-01-20 01:31:00+00:00,92838.34,100.04712870485157,100.0,100.0
2026-01-20 01:32:00+00:00,92786.46,99.99122028342562,100.0,100.0
2026-01-20 01:33:00+00:00,92786.47,99.99123105991394,100.0,100.0
2026-01-20 01:34:00+00:00,92752.29,99.9543970228218,100.0,100.0
2026-01-20 01:35:00+00:00,92751.41,99.95344869184927,100.0,100.0
2026-01-20 01:36:00+00:00,92740.01,99.94116349515967,100.0,100.0
2026-01-20 01:37:00+00:00,92730.01,99.93038700683547,100.0,100.0
2026-01-20 01:38:00+00:00,92711.99,99.91096777487526,100.0,100.0
2026-01-20 01:39:00+00:00,92707.21,99.9058166134563,100.0,100.0
2026-01-20 01:40:00+00:00,92738.44,99.93947158649279,100.0,100.0
2026-01-20 01:41:00+00:00,92725.77,99.92581777578602,100.0,100.0
2026-01-20 01:42:00+00:00,92671.55,99.86738765609218,100.0,100.0
2026-01-20 01:43:00+00:00,92696.1,99.89384393492811,100.0,100.0
2026-01-20 01:44:00+00:00,92707.19,99.90579506047965,100.0,100.0
2026-01-20 01:45:00+00:00,92693.88,99.89145155452013,100.0,100.0
2026-01-20 01:46:00+00:00,92749.27,99.9511425233479,100.0,100.0
2026-01-20 01:47:00+00:00,92749.27,99.9511425233479,100.0,100.0
2026-01-20 01:48:00+00:00,92781.29,99.98564883896199,100.0,100.0
2026-01-20 01:49:00+00:00,92810.0,100.01658813694078,100.0,100.0
2026-01-20 01:50:00+00:00,92808.9,100.01540272322512,100.0,100.0
2026-01-20 01:51:00+00:00,92808.91,100.01541349971346,100.0,100.0
2026-01-20 01:52:00+00:00,92834.5,100.04299053333509,100.0,100.0
2026-01-20 01:53:00+00:00,92829.68,100.03779626596281,100.0,100.0
2026-01-20 01:54:00+00:00,92828.37,100.03638454599235,100.0,100.0
2026-01-20 01:55:00+00:00,92818.92,100.02620076452598,100.0,100.0
2026-01-20 01:56:00+00:00,92815.15,100.02213802842775,100.0,100.0
2026-01-20 01:57:00+00:00,92815.15,100.02213802842775,100.0,100.0
2026-01-20 01:58:00+00:00,92834.91,100.04343236935638,100.0,100.0
2026-01-20 01:59:00+00:00,92716.48,99.91580641813283,100.0,100.0
2026-01-20 02:00:00+00:00,92688.12,99.88524429724538,100.0,100.0
2026-01-20 02:01:00+00:00,92688.62,99.88578312166159,100.0,100.0
2026-01-20 02:02:00+00:00,92685.1,99.88198979777148,100.0,100.0
2026-01-20 02:03:00+00:00,92663.39,99.85859404161963,99.98500224966254,100.0
2026-01-20 02:04:00+00:00,92619.49,99.81128525787638,99.93763357904992,100.0
2026-01-20 02:05:00+00:00,92575.95,99.76436442771278,99.89065335311655,100.0
2026-01-20 02:06:00+00:00,92582.05,99.77093808559056,99.89723533240442,100.0
2026-01-20 02:07:00+00:00,92550.58,99.73702447683428,99.86327879335704,100.0
2026-01-20 02:08:00+00:00,92507.64,99.67579662343475,99.8169459752225,100.0
2026-01-20 02:09:00+00:00,92498.74,99.67579662343475,99.80734275954022,100.0
2026-01-20 02:10:00+00:00,92508.01,99.67579662343475,99.81734521003176,100.0
2026-01-20 02:11:00+00:00,92531.39,99.67579662343475,99.84257253392524,100.0
2026-01-20 02:12:00+00:00,92460.87,99.67579662343475,99.76648053730557,100.0
2026-01-20 02:13:00+00:00,92497.32,99.67579662343475,99.80581056108304,100.0
2026-01-20 02:14:00+00:00,92480.8,99.67579662343475,99.78798526635592,100.0
2026-01-20 02:15:00+00:00,92477.45,99.67579662343475,99.78437057281258,100.0
2026-01-20 02:16:00+00:00,92519.6,99.67579662343475,99.8298509706787,100.0
2026-01-20 02:17:00+00:00,92533.38,99.67579662343475,99.84471976979128,100.0
2026-01-20 02:18:00+00:00,92535.89,99.67579662343475,99.84742809241628,100.0
2026-01-20 02:19:00+00:00,92516.53,99.67579662343475,99.82653840077481,100.0
2026-01-20 02:20:00+00:00,92525.47,99.67579662343475,99.83618477697702,100.0
2026-01-20 02:21:00+00:00,92466.95,99.67579662343475,99.77304093633347,100.0
2026-01-20 02:22:00+00:00,92441.47,99.67579662343475,99.74554768514417,100.0
2026-01-20 02:23:00+00:00,92473.58,99.67579662343475,99.78019479251029,100.0
2026-01-20 02:24:00+00:00,92494.07,99.67579662343475,99.80230376883951,100.0
2026-01-20 02:25:00+00:00,92482.94,99.67579662343475,99.79029435417165,100.0
2026-01-20 02:26:00+00:00,92417.03,99.67579662343475,99.71917660747282,100.0
2026-01-20 02:27:00+00:00,92436.72,99.67579662343475,99.74042237340363,100.0
2026-01-20 02:28:00+00:00,92375.32,99.67579662343475,99.67417097532584,100.0
2026-01-20 02:29:00+00:00,92494.59,99.67579662343475,99.80286485559846,100.0
2026-01-20 02:30:00+00:00,92520.01,99.67579662343475,99.83029336600788,100.0
2026-01-20 02:31:00+00:00,92587.07,99.67579662343475,99.90265197765443,100.0
2026-01-20 02:32:00+00:00,92569.19,99.67579662343475,99.88335922525,100.0
2026-01-20 02:33:00+00:00,92566.32,99.67579662343475,99.88026245794573,100.0
2026-01-20 02:34:00+00:00,92587.56,99.67579662343475,99.90318069402345,100.0
2026-01-20 02:35:00+00:00,92660.48,99.67579662343475,99.96686504249006,100.0
2026-01-20 02:36:00+00:00,92591.76,99.67579662343475,99.96686504249006,100.0
2026-01-20 02:37:00+00:00,92602.15,99.67579662343475,99.96686504249006,100.0
2026-01-20 02:38:00+00:00,92598.16,99.67579662343475,99.96686504249006,100.0
2026-01-20 02:39:00+00:00,92618.79,99.67579662343475,99.96686504249006,100.0
2026-01-20 02:40:00+00:00,92592.83,99.67579662343475,99.96686504249006,100.0
2026-01-20 02:41:00+00:00,92599.32,99.67579662343475,99.96686504249006,100.0
2026-01-20 02:42:00+00:00,92618.21,99.67579662343475,99.96686504249006,100.0
2026-01-20 02:43:00+00:00,92614.35,99.67579662343475,99.96686504249006,100.0
2026-01-20 02:44:00+00:00,92614.36,99.67579662343475,99.96686504249006,100.0
2026-01-20 02:45:00+00:00,92654.2,99.67579662343475,99.96686504249006,100.0
2026-01-20 02:46:00+00:00,92640.01,99.67579662343475,99.96686504249006,100.0
2026-01-20 02:47:00+00:00,92600.54,99.67579662343475,99.96686504249006,100.0
2026-01-20 02:48:00+00:00,92590.46,99.67579662343475,99.96686504249006,100.0
2026-01-20 02:49:00+00:00,92587.57,99.67579662343475,99.96686504249006,100.0
2026-01-20 02:50:00+00:00,92586.76,99.67579662343475,99.96686504249006,100.0
2026-01-20 02:51:00+00:00,92566.33,99.67579662343475,99.96686504249006,100.0
2026-01-20 02:52:00+00:00,92574.48,99.67579662343475,99.96686504249006,100.0
2026-01-20 02:53:00+00:00,92590.86,99.67579662343475,99.96686504249006,100.0
2026-01-20 02:54:00+00:00,92551.06,99.67579662343475,99.96686504249006,100.0
2026-01-20 02:55:00+00:00,92578.96,99.67579662343475,99.96686504249006,100.0
2026-01-20 02:56:00+00:00,92578.96,99.67579662343475,99.96686504249006,100.0
