timestamp,instrument,side,qty,price,fees,strategy_id,order_id
2026-01-22T08:48:10.020510984+00:00,BANKNIFTY26JAN58900PE,BUY,15,221.4500,21.6495,HYDRA_BANKNIFTY26JAN58900PE,SIM-106
2026-01-22T08:48:10.020511435+00:00,BANKNIFTY26JAN58900CE,SELL,15,532.6500,123.3817,HYDRA_BANKNIFTY26JAN58900CE,SIM-107
2026-01-22T08:48:10.020512002+00:00,BANKNIFTY26JAN58900PE,BUY,30,225.0500,44.0029,HYDRA_BANKNIFTY26JAN58900PE,SIM-108
2026-01-22T08:48:10.020512507+00:00,BANKNIFTY26JAN59000PE,SELL,15,256.9000,59.5077,HYDRA_BANKNIFTY26JAN59000PE,SIM-109
2026-01-22T08:48:10.020513433+00:00,BANKNIFTY26JAN58900CE,SELL,30,527.4500,244.3544,HYDRA_BANKNIFTY26JAN58900CE,SIM-110
2026-01-22T08:48:10.020514145+00:00,BANKNIFTY26JAN58900PE,BUY,30,226.2500,44.2375,HYDRA_BANKNIFTY26JAN58900PE,SIM-111
2026-01-22T08:48:10.020517854+00:00,BANKNIFTY26JAN58900CE,SELL,30,524.1000,242.8024,HYDRA_BANKNIFTY26JAN58900CE,SIM-112
2026-01-22T08:48:10.020519529+00:00,BANKNIFTY26JAN58900PE,BUY,15,223.5000,21.8499,HYDRA_BANKNIFTY26JAN58900PE,SIM-113
2026-01-22T08:48:10.020520050+00:00,BANKNIFTY26JAN59000CE,SELL,15,458.6000,106.2290,HYDRA_BANKNIFTY26JAN59000CE,SIM-114
2026-01-22T08:48:10.020520570+00:00,BANKNIFTY26JAN59000PE,BUY,30,264.4500,51.7066,HYDRA_BANKNIFTY26JAN59000PE,SIM-115
2026-01-22T08:48:10.020521214+00:00,BANKNIFTY26JAN58900CE,SELL,30,516.2500,239.1657,HYDRA_BANKNIFTY26JAN58900CE,SIM-116
2026-01-22T08:48:10.020521934+00:00,BANKNIFTY26JAN58900PE,BUY,15,227.6500,22.2556,HYDRA_BANKNIFTY26JAN58900PE,SIM-117
2026-01-22T08:48:10.020524442+00:00,BANKNIFTY26JAN58900CE,SELL,15,515.6500,119.4439,HYDRA_BANKNIFTY26JAN58900CE,SIM-118
2026-01-22T08:48:10.020526043+00:00,BANKNIFTY26JAN58900PE,BUY,30,224.8000,43.9540,HYDRA_BANKNIFTY26JAN58900PE,SIM-119
2026-01-22T08:48:10.020526565+00:00,BANKNIFTY26JAN59000CE,SELL,15,455.4000,105.4877,HYDRA_BANKNIFTY26JAN59000CE,SIM-120
2026-01-22T08:48:10.020527884+00:00,BANKNIFTY26JAN58900PE,BUY,15,226.6000,22.1530,HYDRA_BANKNIFTY26JAN58900PE,SIM-121
2026-01-22T08:48:10.020528593+00:00,BANKNIFTY26JAN58900CE,SELL,30,524.0000,242.7561,HYDRA_BANKNIFTY26JAN58900CE,SIM-122
2026-01-22T08:48:10.020529112+00:00,BANKNIFTY26JAN58900PE,BUY,15,221.1500,21.6202,HYDRA_BANKNIFTY26JAN58900PE,SIM-123
2026-01-22T08:48:10.020529620+00:00,BANKNIFTY26JAN58900CE,SELL,15,535.3000,123.9956,HYDRA_BANKNIFTY26JAN58900CE,SIM-124
2026-01-22T08:48:10.020531371+00:00,BANKNIFTY26JAN58900PE,BUY,30,215.4500,42.1259,HYDRA_BANKNIFTY26JAN58900PE,SIM-125
2026-01-22T08:48:10.020532828+00:00,BANKNIFTY26JAN59000PE,BUY,15,246.5000,24.0985,HYDRA_BANKNIFTY26JAN59000PE,SIM-126
2026-01-22T08:48:10.020533329+00:00,BANKNIFTY26JAN59000PE,SELL,15,247.2500,57.2724,HYDRA_BANKNIFTY26JAN59000PE,SIM-127
2026-01-22T08:48:10.020533828+00:00,BANKNIFTY26JAN58900CE,SELL,15,538.7500,124.7947,HYDRA_BANKNIFTY26JAN58900CE,SIM-128
