date,daily_pnl,n_trades,n_roundtrips,skipped,skip_reason,fut_open,fut_close,intraday_range_pct,n_signals
2024-10-29,-1.649993896484375,1,1,False,,24346.099609375,24473.0,0.013347832942636632,1
2024-10-30,-7.1999969482421875,1,1,False,,24417.69921875,24366.900390625,0.007931973539400155,1
2024-10-31,-24.59999990463257,1,1,False,,24300.0,24203.94921875,0.006061518983326516,1
2024-11-04,-42.650001525878906,1,1,False,,24314.099609375,24100.0,0.017164947599574865,1
2024-11-05,-31.949989318847656,1,1,False,,24060.849609375,24293.650390625,0.01392558490796761,1
2024-11-06,0.0,0,0,False,,24369.19921875,24590.75,0.014422881916159067,0
2024-11-07,0.0,0,0,False,,24542.75,24281.0,0.011188618992880312,0
2024-11-08,8.649993896484375,1,1,False,,24215.0,24196.400390625,0.008820884007576116,1
2024-11-11,-21.800003051757812,1,1,False,,24106.150390625,24226.94921875,0.013187093743704357,1
2024-11-12,-20.749980926513672,1,1,False,,24299.0,23934.05078125,0.015919078020064672,1
2024-11-13,7.150007247924805,1,1,False,,23915.0,23690.099609375,0.013736177277279112,1
2024-11-14,38.499990940093994,1,1,False,,23680.0,23624.900390625,0.007609031200082762,1
2024-11-18,11.000015258789062,1,1,False,,23619.900390625,23513.150390625,0.010192225170725128,1
2024-11-19,-15.850006103515625,1,1,False,,23601.69921875,23491.05078125,0.014707277507148609,1
2024-11-21,-1.2999982833862305,1,1,False,,23400.0,23350.849609375,0.006183588245101871,1
2024-11-22,0.0,0,0,True,trending_day_0.022,23433.30078125,23900.0,0.022016992981159954,0
2024-11-25,-30.95000457763672,1,1,False,,24297.19921875,24301.5,0.009525063848280134,1
2024-11-26,-3.0000076293945312,1,1,False,,24282.150390625,24205.0,0.007879700488871471,1
2024-11-27,-22.750003814697266,1,1,False,,24195.0,24309.0,0.008837142908181552,1
2024-11-28,0.0,0,0,True,trending_day_0.020,24315.69921875,23912.55078125,0.02041785288548906,0
2024-11-29,-27.199996948242188,1,1,False,,24129.55078125,24314.599609375,0.010024132170038983,1
2024-12-02,-4.5500030517578125,1,1,False,,24215.099609375,24428.0,0.012358986781022646,1
2024-12-03,-4.25,1,1,False,,24466.05078125,24534.0,0.007853416397215424,1
2024-12-04,-31.49999237060547,1,1,False,,24560.0,24563.0,0.008375237160049055,1
2024-12-05,0.0,0,0,True,trending_day_0.020,24580.400390625,24775.0,0.02044030154287164,0
2024-12-06,-15.600006103515625,1,1,False,,24780.44921875,24775.0,0.004842514969540507,1
2024-12-09,0.0,0,0,False,,24743.400390625,24698.599609375,0.004774235313157469,0
2024-12-10,2.9000091552734375,1,1,False,,24717.0,24685.0,0.00661582742351859,1
2024-12-11,-15.549999237060547,1,1,False,,24690.94921875,24734.0,0.004663525037911524,1
2024-12-12,0.5500001907348633,1,1,False,,24723.849609375,24647.0,0.005519065910787834,1
2024-12-13,0.0,0,0,True,trending_day_0.025,24569.099609375,24860.0,0.025091699997716897,0
2024-12-16,-23.24999237060547,1,1,False,,24795.55078125,24720.150390625,0.006060361197527372,1
2024-12-17,15.550018310546875,1,1,False,,24656.849609375,24401.0,0.012134322206847754,1
2024-12-18,-13.700000762939453,1,1,False,,24370.0,24269.400390625,0.009755231561848697,1
2024-12-19,0.0,0,0,False,,23990.0,24021.0,0.00486997605322974,0
2024-12-20,0.0,0,0,True,trending_day_0.021,23956.349609375,23642.30078125,0.021418216651213778,0
2024-12-23,-10.999992370605469,1,1,False,,23787.0,23768.0,0.009841416650221053,1
2024-12-24,0.0,0,0,False,,23760.05078125,23772.150390625,0.006408034204195686,0
2024-12-26,19.150004386901855,1,1,False,,23815.150390625,23748.75,0.007603011464244346,1
2024-12-27,4.699993133544922,1,1,False,,23974.44921875,24000.0,0.006056835719387215,1
2024-12-30,-22.300003051757812,1,1,False,,23942.150390625,23829.0,0.012394578155862344,1
2024-12-31,3.3000030517578125,1,1,False,,23689.650390625,23819.25,0.010481409438174426,1
2025-01-01,4.600006103515625,1,1,False,,23770.0,23914.0,0.010155046182151599,1
2025-01-02,28.349994659423828,1,1,False,,23904.0,24270.05078125,0.017937266252729754,1
2025-01-03,-25.850013732910156,1,1,False,,24232.0,24080.0,0.007693079065081529,1
2025-01-06,0.0,0,0,True,trending_day_0.020,24117.400390625,23729.94921875,0.020300268264750638,0
2025-01-07,0.0,0,0,False,,23833.0,23785.44921875,0.005757899106301383,0
2025-01-08,-39.64999198913574,1,1,False,,23764.80078125,23776.349609375,0.009731630697973928,1
2025-01-09,0.0,0,0,False,,23721.150390625,23671.099609375,0.0052936868666143755,0
2025-01-10,0.0,0,0,False,,23622.150390625,23515.0,0.010300706387334236,0
2025-01-13,-18.650001525878906,1,1,False,,23300.0,23169.900390625,0.01252726172104443,1
2025-01-14,-13.85000228881836,1,1,False,,23265.0,23280.0,0.005874634346189457,1
