entry_date,exit_date,direction,regime,entry_spot,exit_spot,pnl_points,pnl_pct,hold_days,exit_reason,entry_gex,entry_max_pain,target_pct
2025-08-11,2025-08-13,long,positive,24585.05,24619.35,31.299999999999272,0.0012731314355675207,2,regime_flip,123599903.13330787,24500.0,0.005
2025-08-20,2025-08-21,long,negative,25050.55,25083.75,30.200000000000728,0.00120556235292242,1,regime_flip,-8130420.302515313,25000.0,0.01
2025-08-25,2025-08-28,long,positive,24967.75,24500.9,-469.84999999999854,-0.018818275575492326,2,stop_loss,142314874.2219736,24950.0,0.005
2025-09-02,2025-09-04,short,negative,24579.6,24734.3,-157.70000000000073,-0.006415889599505311,2,regime_flip,-62404081.216857076,24600.0,0.01
2025-09-12,2025-09-15,long,negative,25114.0,25069.2,-47.79999999999927,-0.0019033208568925409,1,regime_flip,-14853327.566930294,25000.0,0.01
2025-09-17,2025-09-22,short,positive,25330.25,25202.35,124.90000000000146,0.004930863295861725,3,max_hold,14538895.110852651,25150.0,0.005
2025-09-26,2025-10-01,long,positive,24654.7,24836.3,178.59999999999854,0.007244054886086569,3,regime_flip,213960618.0019283,25000.0,0.005
2025-10-06,2025-10-07,long,negative,25077.65,25108.3,27.649999999997817,0.0011025754008050122,1,regime_flip,-41671524.389515676,24900.0,0.01
2025-10-13,2025-10-14,long,negative,25227.35,25145.5,-84.84999999999854,-0.003363413121076869,1,regime_flip,-19530185.03671305,25300.0,0.01
2025-10-17,2025-10-27,short,positive,25709.85,25966.05,-259.2000000000007,-0.010081739099994777,3,max_hold,36975840.43753056,25500.0,0.005
2025-11-03,2025-11-07,long,positive,25763.35,25492.3,-274.0499999999993,-0.010637203624528614,3,max_hold,287788002.8174838,25850.0,0.005
2025-11-20,2025-11-21,long,negative,26192.15,26068.15,-127.0,-0.004848781027903398,1,regime_flip,-25073602.262501173,26000.0,0.01
2025-11-27,2025-12-02,long,positive,26215.55,26032.2,-186.34999999999854,-0.007108376516990814,3,max_hold,32803436.62984559,26000.0,0.005
2025-12-11,2025-12-12,long,positive,25898.55,26046.95,145.40000000000146,0.005614213923173361,1,target,130292103.34574457,25850.0,0.005
2025-12-16,2025-12-17,long,negative,25860.1,25818.55,-44.54999999999927,-0.0017227311572654118,1,regime_flip,-73406542.74367356,26000.0,0.01
2025-12-19,2025-12-22,long,positive,25966.4,26172.4,203.0,0.00781779530470146,1,regime_flip,123830103.10196257,25900.0,0.005
2026-01-01,2026-01-05,short,negative,26146.55,26250.3,-106.75,-0.004082756616073631,2,regime_flip,-47661366.444891125,26100.0,0.01
2026-01-09,2026-01-14,long,positive,25683.3,25665.6,-20.700000000000728,-0.0008059711952903532,3,max_hold,206456196.58259472,26000.0,0.005
2026-01-19,2026-01-21,long,positive,25585.5,25157.5,-431.0,-0.016845478884524437,2,stop_loss,170534663.67029738,25800.0,0.005
2026-01-23,2026-01-27,long,positive,25048.65,25175.4,123.75,0.004940386008826823,1,target,84878168.2718777,25400.0,0.005
