date,entry_time,exit_time,direction,entry_price,exit_price,pnl_points,exit_reason,sub_strategy,combined_score,bars_held
2024-11-07,2024-11-07 09:59:00,2024-11-07 10:59:00,-1,24389.25,24359.94921875,26.30078125,max_hold,orb,-0.7,60
2024-11-12,2024-11-12 09:59:00,2024-11-12 10:00:00,1,24314.0,24286.025390625,-30.974609375,stop_loss,orb,0.7,1
2024-12-20,2024-12-20 12:15:00,2024-12-20 12:58:00,-1,23893.69921875,23784.19921875,106.5,target,orb,-0.7,43
2025-01-06,2025-01-06 09:35:00,2025-01-06 09:49:00,-1,24033.0,24061.875,-31.875,stop_loss,orb,-0.7,14
2025-01-10,2025-01-10 09:59:00,2025-01-10 10:22:00,-1,23453.94921875,23505.82421875,-54.875,stop_loss,orb,-0.7,23
2025-01-21,2025-01-21 11:47:00,2025-01-21 11:52:00,-1,23390.05078125,23417.576171875,-30.525390625,stop_loss,orb,-0.7,5
2025-01-21,2025-01-21 12:16:00,2025-01-21 12:56:00,-1,23216.80078125,23244.326171875,-30.525390625,stop_loss,orb,-0.7,40
2025-01-30,2025-01-30 13:57:00,2025-01-30 14:08:00,1,23336.349609375,23306.1748046875,-33.1748046875,stop_loss,orb,0.7,11
2025-02-01,2025-02-01 09:31:00,2025-02-01 09:32:00,1,23670.05078125,23630.05078125,-43.0,stop_loss,orb,0.7,1
2025-02-01,2025-02-01 12:29:00,2025-02-01 13:29:00,-1,23523.55078125,23520.80078125,-0.25,max_hold,orb,-0.7,60
2025-03-03,2025-03-03 09:45:00,2025-03-03 10:45:00,-1,22251.349609375,22196.55078125,51.798828125,max_hold,orb,-0.7,60
2025-03-06,2025-03-06 09:48:00,2025-03-06 09:55:00,-1,22376.25,22425.0,-51.75,stop_loss,orb,-0.7,7
2025-04-02,2025-04-02 09:56:00,2025-04-02 10:08:00,1,23394.0,23351.0498046875,-45.9501953125,stop_loss,orb,0.7,12
2025-04-24,2025-04-24 09:34:00,2025-04-24 09:40:00,1,24470.0,24440.7001953125,-32.2998046875,stop_loss,orb,0.7,6
2025-05-13,2025-05-13 09:30:00,2025-05-13 09:39:00,-1,24832.0,24932.75,-103.75,stop_loss,orb,-0.7,9
2025-05-15,2025-05-15 12:16:00,2025-05-15 12:20:00,1,24791.900390625,24748.400390625,-46.5,stop_loss,orb,0.7,4
2025-05-21,2025-05-21 12:21:00,2025-05-21 12:27:00,1,24807.5,24767.5498046875,-42.9501953125,stop_loss,orb,0.7,6
2025-06-03,2025-06-03 09:30:00,2025-06-03 09:38:00,-1,24735.69921875,24818.099609375,-85.400390625,stop_loss,orb,-0.7,8
2025-06-03,2025-06-03 10:40:00,2025-06-03 11:40:00,-1,24762.30078125,24720.099609375,39.201171875,max_hold,orb,-0.7,60
2025-06-10,2025-06-10 09:30:00,2025-06-10 09:38:00,-1,25149.900390625,25195.5,-48.599609375,stop_loss,orb,-0.7,8
2025-10-27,2025-10-27 13:22:00,2025-10-27 14:22:00,1,25969.80078125,26010.0,37.19921875,max_hold,orb,0.7,60
2026-01-27,2026-01-27 09:44:00,2026-01-27 10:42:00,1,25311.0,25213.5498046875,-100.4501953125,stop_loss,orb,0.7,58
2026-01-29,2026-01-29 09:54:00,2026-01-29 10:13:00,-1,25285.0,25314.2998046875,-32.2998046875,stop_loss,orb,-0.7,19
