date,nifty_close,btc_overnight_ret,eth_overnight_ret,btc_overnight_vol,btc_24h_momentum,crypto_equity_corr,raw_signal,scaled_signal,z_score,signal,position,daily_return,cumulative_return,entry_price,exit_price,exit_reason
2025-08-06,24574.2,,,,,,,,,flat,0.0,0.0,1.0,,,
2025-08-07,24596.15,0.004446,0.010315,0.000825,0.008721,,0.007062,0.002119,,flat,0.0,0.0,1.0,,,
2025-08-08,24363.3,0.010922,0.040889,0.001019,0.018368,,0.021401,0.00642,,flat,0.0,0.0,1.0,,,
2025-08-11,24585.05,0.0431,0.09681,0.000799,0.030341,,0.056661,0.016998,,flat,0.0,0.0,1.0,,,
2025-08-12,24487.4,-0.019501,0.007204,0.001108,-0.024182,,-0.012426,-0.003728,,flat,0.0,0.0,1.0,,,
2025-08-13,24619.35,0.009934,0.080724,0.000984,0.005118,,0.030208,0.009062,,flat,0.0,0.0,1.0,,,
2025-08-14,24631.3,0.02755,0.017135,0.001386,0.032726,,0.025461,0.007638,,flat,0.0,0.0,1.0,,,
2025-08-18,24876.95,-0.054391,-0.097373,0.001076,-0.022508,,-0.060909,-0.018273,,flat,0.0,0.0,1.0,,,
2025-08-19,24980.65,-0.001397,-0.016658,0.000976,-0.001673,,-0.00603,-0.001809,,flat,0.0,0.0,1.0,,,
2025-08-20,25050.55,-0.01621,-0.031319,0.001045,-0.012641,,-0.020029,-0.006009,,flat,0.0,0.0,1.0,,,
2025-08-21,25083.75,0.002758,0.018185,0.00116,0.005765,,0.007988,0.002396,,flat,0.0,0.0,1.0,,,
2025-08-22,24870.1,-0.001644,0.000792,0.001057,-0.008987,,-0.002382,-0.000715,,flat,0.0,0.0,1.0,,,
2025-08-25,24967.75,0.00317,0.095068,0.00121,-0.015167,,0.027072,0.008122,,flat,0.0,0.0,1.0,,,
2025-08-26,24712.05,-0.016464,-0.043481,0.001692,-0.030592,,-0.027395,-0.008218,,flat,0.0,0.0,1.0,,,
2025-08-28,24500.9,0.016048,0.025,0.001164,0.0028,,0.016084,0.004825,,flat,0.0,0.0,1.0,,,
2025-08-29,24426.85,-0.009533,-0.019147,0.00094,-0.001307,,-0.010772,-0.003232,,flat,0.0,0.0,1.0,,,
2025-09-01,24625.05,-0.021935,0.011305,0.000783,-0.017229,,-0.011022,-0.003307,,flat,0.0,0.0,1.0,,,
2025-09-02,24579.6,0.009442,-0.014438,0.001099,0.026718,,0.005733,0.00172,,flat,0.0,0.0,1.0,,,
2025-09-03,24715.05,0.005742,-0.015618,0.0012,0.005461,,-0.000722,-0.000217,,flat,0.0,0.0,1.0,,,
2025-09-04,24734.3,8.4e-05,0.010561,0.001071,0.002087,,0.003628,0.001088,,flat,0.0,0.0,1.0,,,
2025-09-05,24741.0,0.004063,-0.0149,0.000993,0.000158,-0.244,-0.002407,-0.000587,-0.1759,flat,0.0,0.0,1.0,,,
2025-09-08,24773.15,-0.011889,-0.019329,0.000726,0.004064,-0.244,-0.01093,-0.002667,-0.4229,flat,0.0,0.0,1.0,,,
2025-09-09,24868.6,-0.003082,-0.003502,0.000773,0.005611,-0.251,-0.00147,-0.000369,-0.0692,flat,0.0,0.0,1.0,,,
2025-09-10,24973.1,-0.012957,-0.009343,0.00093,-0.00175,-0.2972,-0.009631,-0.002862,-0.3263,flat,0.0,0.0,1.0,,,
2025-09-11,25005.5,0.017866,0.016242,0.000998,0.024909,-0.2558,0.018787,0.004806,0.8404,flat,0.0,0.0,1.0,,,
2025-09-12,25114.0,0.011321,0.017238,0.000979,0.008509,-0.232,0.012534,0.002908,0.6201,flat,0.0,0.0,1.0,,,
2025-09-15,25069.2,0.004564,0.026591,0.000569,-0.002208,-0.2889,0.009818,0.002836,0.6799,flat,0.0,0.0,1.0,,,
2025-09-16,25239.1,0.004284,0.001599,0.000842,-0.001074,-0.332,0.002407,0.000799,0.213,flat,0.0,0.0,1.0,,,
2025-09-17,25330.25,0.008345,-0.000971,0.000736,0.009419,-0.255,0.005765,0.00147,0.3451,flat,0.0,0.0,1.0,,,
2025-09-18,25423.6,0.010032,0.026514,0.001191,0.010687,-0.2213,0.015108,0.003344,0.7536,flat,0.0,0.0,1.0,,,
2025-09-19,25327.05,-0.002994,-0.010351,0.000695,-0.006585,-0.2293,-0.00592,-0.001357,-0.4893,flat,0.0,0.0,1.0,,,
2025-09-22,25202.35,-0.015912,-0.04851,0.00046,-0.009017,-0.1789,-0.024312,-0.00435,-1.214,short,-0.25,-0.00253,0.99747,25324.0,25577.24,stop_loss
2025-09-23,25169.5,0.000507,0.008086,0.000878,-0.019316,0.1119,-0.001184,-0.000133,0.0129,flat,0.0,0.0,0.99747,,,
2025-09-24,25056.9,-0.010504,-0.012186,0.000785,-0.006229,0.2135,-0.010154,-0.002168,-0.8357,flat,0.0,0.0,0.99747,,,
2025-09-25,24890.85,-0.003222,-0.032353,0.000789,0.006182,0.3223,-0.01008,-0.003248,-1.1387,short,-0.25,-0.00253,0.994946,25054.9,25305.45,stop_loss
2025-09-26,24654.7,-0.020486,-0.017064,0.001301,-0.027554,0.5913,-0.020873,-0.012343,-3.1258,short,-0.25,-0.00253,0.992429,24878.5,25127.28,stop_loss
2025-09-29,24634.9,0.021697,0.052701,0.000626,0.020788,0.4546,0.030816,0.014009,2.8266,long,0.25,0.001737,0.994153,24760.8,24935.8,eod
2025-09-30,24611.1,0.019791,0.016276,0.000928,0.023445,0.4088,0.019467,0.007958,1.4435,long,0.25,0.002038,0.996179,24726.8,24931.4,eod
2025-10-01,24836.3,0.011395,-0.003328,0.00086,-0.002118,0.4564,0.004276,0.001952,0.2681,flat,0.0,0.0,0.996179,,,
2025-10-03,24894.25,0.031895,0.049525,0.000933,0.012915,0.5852,0.033388,0.019537,2.6857,long,0.25,0.003468,0.999634,24932.5,25281.4,eod
2025-10-06,25077.65,0.028615,0.013188,0.001128,-0.001581,0.6023,0.017947,0.010809,1.2487,long,0.25,0.004568,1.0042,25009.0,25469.0,eod
2025-10-07,25108.3,0.002059,0.024752,0.000982,0.003811,0.5955,0.009217,0.005489,0.4357,flat,0.0,0.0,1.0042,,,
2025-10-08,25046.15,-0.021925,-0.050854,0.00134,-0.023502,0.5396,-0.030919,-0.016684,-2.2438,short,-0.25,-0.00253,1.00166,25196.0,25447.96,stop_loss
2025-10-09,25181.8,-0.005878,-0.009446,0.001053,0.005236,0.5251,-0.004726,-0.002481,-0.5076,flat,0.0,0.0,1.00166,,,
2025-10-10,25285.35,-0.003054,0.010114,0.001145,-0.004173,0.4347,0.000673,0.000292,-0.1402,flat,0.0,0.0,1.00166,,,
2025-10-13,25227.35,-0.056143,-0.042984,0.003867,0.035116,0.1919,-0.033943,-0.006514,-0.8999,flat,0.0,0.0,1.00166,,,
2025-10-14,25145.5,-0.012127,0.000865,0.001356,-0.009423,0.1747,-0.007688,-0.001343,-0.2521,flat,0.0,0.0,1.00166,,,
2025-10-15,25323.55,0.007693,0.025142,0.001622,-0.01443,0.1972,0.008503,0.001677,0.106,flat,0.0,0.0,1.00166,,,
2025-10-16,25585.3,-0.007436,-0.02994,0.00138,-0.004453,0.1043,-0.013591,-0.001417,-0.2485,flat,0.0,0.0,1.00166,,,
2025-10-17,25709.85,-0.018699,-0.025131,0.00173,-0.022356,0.0253,-0.02136,-0.002136,-0.302,flat,0.0,0.0,1.00166,,,
2025-10-20,25843.15,0.042722,0.067608,0.001235,0.018147,-0.005,0.045273,0.004527,0.4611,flat,0.0,0.0,1.00166,,,
2025-10-21,25868.6,-0.013887,-0.028322,0.001094,0.000986,0.0265,-0.015243,-0.001524,-0.2817,flat,0.0,0.0,1.00166,,,
2025-10-23,25891.4,0.005189,-0.011134,0.001829,0.002994,-0.0098,-0.000147,-1.5e-05,-0.1005,flat,0.0,0.0,1.00166,,,
2025-10-24,25795.15,0.007611,-0.003807,0.001387,0.017888,-0.0149,0.006241,0.000624,-0.0404,flat,0.0,0.0,1.00166,,,
2025-10-27,25966.05,0.033867,0.06178,0.000895,0.032952,-0.0039,0.042058,0.004206,0.3491,flat,0.0,0.0,1.00166,,,
2025-10-28,25936.2,-0.011662,-0.016799,0.000948,-0.010714,-0.1259,-0.013013,-0.001638,-0.4597,flat,0.0,0.0,1.00166,,,
2025-10-29,26053.9,-0.016825,-0.028466,0.001252,-0.011199,-0.079,-0.019192,-0.001919,-0.4209,flat,0.0,0.0,1.00166,,,
2025-10-30,25877.85,-0.021505,-0.017914,0.002002,-0.016919,-0.0574,-0.019511,-0.001951,-0.3639,flat,0.0,0.0,1.00166,,,
2025-10-31,25722.1,-0.007371,-0.019422,0.001553,-0.012904,-0.007,-0.012093,-0.001209,-0.2341,flat,0.0,0.0,1.00166,,,
2025-11-03,25763.35,-0.017227,-0.028131,0.00102,-0.017686,-0.2423,-0.02059,-0.00499,-0.7772,flat,0.0,0.0,1.00166,,,
2025-11-04,25597.65,-0.002631,-0.016939,0.001697,-0.009491,-0.2457,-0.008295,-0.002038,-0.1265,flat,0.0,0.0,1.00166,,,
2025-11-06,25509.7,-0.000473,-0.013586,0.001964,0.015431,-0.1605,-0.001226,-0.000197,0.354,flat,0.0,0.0,1.00166,,,
2025-11-07,25492.3,-0.00671,-0.008427,0.001826,-0.015601,-0.1352,-0.009003,-0.001217,-0.0992,flat,0.0,0.0,1.00166,,,
2025-11-10,25574.35,0.047404,0.093619,0.001335,0.04375,-0.1138,0.060537,0.00689,2.4032,long,0.25,0.003797,1.005463,25677.0,26070.0,eod
2025-11-11,25694.95,0.001289,-0.004459,0.00153,0.003147,-0.0856,-6.4e-05,-6e-06,0.1639,flat,0.0,0.0,1.005463,,,
2025-11-12,25875.8,-0.015229,-0.031926,0.001233,-0.029222,-0.0263,-0.023037,-0.002304,-0.7249,flat,0.0,0.0,1.005463,,,
