date,entry_time,exit_time,direction,entry_price,exit_price,pnl_points,exit_reason,sub_strategy,combined_score,bars_held
2024-10-30,2024-10-30 10:54:00,2024-10-30 11:04:00,-1,24470.0,24454.5751953125,12.4248046875,trailing_stop,vwap_mr,-0.3,10
2024-10-30,2024-10-30 13:05:00,2024-10-30 13:10:00,-1,24495.599609375,24479.4248046875,13.1748046875,trailing_stop,vwap_mr,-0.3,5
2024-10-31,2024-10-31 12:26:00,2024-10-31 12:50:00,1,24353.599609375,24330.305252560876,-26.294356814123603,stop_loss,vwap_mr,0.3,24
2024-11-07,2024-11-07 10:01:00,2024-11-07 10:55:00,-1,24350.0,24349.0,-2.0,trailing_stop,orb,-0.4,54
2024-11-08,2024-11-08 09:25:00,2024-11-08 09:26:00,1,24238.849609375,24239.849609375,-2.0,trailing_stop,momentum,0.3,1
2024-11-08,2024-11-08 09:26:00,2024-11-08 09:31:00,1,24255.0,24256.0,-2.0,trailing_stop,momentum,0.3,5
2024-11-11,2024-11-11 10:29:00,2024-11-11 10:53:00,1,24310.0,24311.0,-2.0,trailing_stop,orb,0.4,24
2024-11-12,2024-11-12 09:59:00,2024-11-12 10:03:00,1,24314.0,24227.19921875,-89.80078125,stop_loss,momentum,0.3,4
2024-11-12,2024-11-12 12:13:00,2024-11-12 12:27:00,1,24174.75,24175.75,-2.0,trailing_stop,vwap_mr,0.3,14
2024-11-12,2024-11-12 12:58:00,2024-11-12 13:15:00,1,24081.900390625,24068.67782126365,-16.222569361350907,stop_loss,vwap_mr,0.3,17
2024-11-13,2024-11-13 09:48:00,2024-11-13 09:52:00,-1,23807.19921875,23870.19921875,-66.0,stop_loss,orb,-0.4,4
2024-11-14,2024-11-14 10:00:00,2024-11-14 10:04:00,-1,23729.80078125,23752.189373547928,-25.38859229792797,stop_loss,vwap_mr,-0.3,4
2024-11-14,2024-11-14 11:13:00,2024-11-14 11:58:00,1,23566.75,23601.0,31.25,max_hold,vwap_mr,0.3,45
2024-11-22,2024-11-22 09:22:00,2024-11-22 09:39:00,1,23519.0,23520.0,-2.0,trailing_stop,momentum,0.3,17
2024-11-22,2024-11-22 10:03:00,2024-11-22 10:09:00,1,23584.099609375,23612.0,24.900390625,trailing_stop,momentum,0.3,6
2024-11-26,2024-11-26 10:18:00,2024-11-26 10:53:00,1,24182.19921875,24206.0244140625,20.8251953125,trailing_stop,vwap_mr,0.3,35
