date,daily_pnl,n_trades,max_intraday_dd,notional
2024-10-29,-120.80943109475993,3,120.80943109475993,24346.099609375
2024-10-30,-27.817861154384445,3,30.178379569792014,24417.69921875
2024-10-31,-29.401646192956832,3,29.401646192956832,24422.0
2024-11-04,0.0,0,0.0,24314.099609375
2024-11-05,-117.95335381919722,3,117.95335381919722,24060.849609375
2024-11-06,0.0,0,0.0,24369.19921875
2024-11-07,23.201171875,3,8.0,24542.75
2024-11-08,-38.701171875,2,108.25,24215.0
2024-11-11,43.71458621599595,3,30.960793048168853,24106.150390625
2024-11-12,-94.96434283710187,3,94.96434283710187,24299.0
2024-11-13,-83.44242550168201,3,98.39164425168201,23915.0
2024-11-14,-62.00974456016047,2,62.00974456016047,23680.0
2024-11-18,143.72766842825877,2,0.0,23619.900390625
2024-11-19,0.0,0,0.0,23601.69921875
2024-11-21,0.0,0,0.0,23400.0
2024-11-22,-117.19921875,2,117.19921875,23433.30078125
2024-11-25,37.18414320522061,2,10.524925496858486,24297.19921875
2024-11-26,42.65053822039408,3,31.999852404605917,24282.150390625
2024-11-27,-33.33858322058222,3,52.80078125,24195.0
2024-11-28,126.048828125,3,0.0,24464.599609375
2024-11-29,-37.61592858478616,3,37.61592858478616,24129.55078125
2024-12-02,-28.75,2,52.099609375,24215.099609375
2024-12-03,-31.479111729226133,3,44.57872110422613,24466.05078125
2024-12-04,-86.36477944621583,2,86.36477944621583,24560.0
2024-12-05,-15.780324693994771,3,25.82915281899477,24580.400390625
2024-12-06,-133.31482239106845,3,133.31482239106845,24780.44921875
2024-12-09,26.8984375,1,0.0,24743.400390625
2024-12-10,6.93042461947698,3,35.69970703125,24717.0
2024-12-11,-23.32643054007349,3,37.32643054007349,24690.94921875
2024-12-12,-16.15944368240889,3,36.51100618240889,24723.849609375
2024-12-13,114.69921875,3,0.0,24569.099609375
2024-12-16,39.3984375,2,0.0,24795.55078125
2024-12-17,-23.59823422375848,3,53.24862484875848,24656.849609375
2024-12-18,40.0,1,0.0,24370.0
2024-12-19,0.0,0,0.0,23990.0
2024-12-20,130.1484375,3,25.30078125,23956.349609375
2024-12-23,-30.721130601818004,1,30.721130601818004,23787.0
2024-12-24,5.72509765625,2,38.17529296875,23760.05078125
2024-12-26,42.81758847872334,3,13.547161718393909,23975.55078125
2024-12-27,7.150390625,1,0.0,23974.44921875
2024-12-30,-72.1161972262671,2,72.1161972262671,23942.150390625
2024-12-31,24.442281358249602,3,48.42299924738836,23689.650390625
2025-01-01,-46.94921875,1,46.94921875,23770.0
2025-01-02,-106.05856308373404,3,106.05856308373404,23904.0
2025-01-03,34.712476286495075,2,33.76593389964182,24232.0
2025-01-06,-73.01815534562411,3,83.66854597062411,24117.400390625
2025-01-07,-18.150390625,1,18.150390625,23833.0
2025-01-08,52.32561142482882,3,27.57920727103192,23764.80078125
2025-01-09,4.489125636242534,2,15.010874363757466,23721.150390625
2025-01-10,206.26952018365046,2,0.0,23622.150390625
2025-01-13,0.0,0,0.0,23300.0
2025-01-14,43.71435022483638,1,0.0,23265.0
2025-01-15,66.4083321979706,2,0.0,23294.599609375
2025-01-16,16.849609375,1,0.0,23387.94921875
