date,daily_pnl,n_trades,n_roundtrips,skipped,skip_reason,fut_open,fut_close,intraday_range_pct
2024-10-29,-8.350006103515625,2,2,False,,24346.099609375,24473.0,0.013347832942636632
2024-10-30,-13.749996185302734,2,2,False,,24417.69921875,24366.900390625,0.007931973539400155
2024-10-31,-8.80000114440918,2,2,False,,24300.0,24203.94921875,0.006061518983326516
2024-11-04,-88.50003051757812,2,2,False,,24314.099609375,24100.0,0.017164947599574865
2024-11-05,-15.549995422363281,2,2,False,,24060.849609375,24293.650390625,0.01392558490796761
2024-11-06,8.749996185302734,2,2,False,,24369.19921875,24590.75,0.014422881916159067
2024-11-07,-13.300008296966553,2,2,False,,24542.75,24281.0,0.011188618992880312
2024-11-08,-11.5,2,2,False,,24215.0,24196.400390625,0.008820884007576116
2024-11-11,-8.850013732910156,2,2,False,,24106.150390625,24226.94921875,0.013187093743704357
2024-11-12,-15.849998474121094,2,2,False,,24299.0,23934.05078125,0.015919078020064672
2024-11-13,13.900005340576172,2,2,False,,23915.0,23690.099609375,0.013736177277279112
2024-11-14,-82.44998478889465,2,2,False,,23680.0,23624.900390625,0.007609031200082762
2024-11-18,-10.800003051757812,2,2,False,,23619.900390625,23513.150390625,0.010192225170725128
2024-11-19,-28.25,2,2,False,,23601.69921875,23491.05078125,0.014707277507148609
2024-11-21,-21.84999942779541,2,2,False,,23400.0,23350.849609375,0.006183588245101871
2024-11-22,0.0,0,0,True,trending_day_0.022,23433.30078125,23900.0,0.022016992981159954
2024-11-25,-37.54999542236328,2,2,False,,24297.19921875,24301.5,0.009525063848280134
2024-11-26,-27.70001220703125,2,2,False,,24282.150390625,24205.0,0.007879700488871471
2024-11-27,-12.699996948242188,2,2,False,,24195.0,24309.0,0.008837142908181552
2024-11-28,0.0,0,0,True,trending_day_0.020,24315.69921875,23912.55078125,0.02041785288548906
2024-11-29,-40.850006103515625,2,2,False,,24129.55078125,24314.599609375,0.010024132170038983
2024-12-02,-9.54998779296875,2,2,False,,24215.099609375,24428.0,0.012358986781022646
2024-12-03,-39.20000457763672,2,2,False,,24466.05078125,24534.0,0.007853416397215424
2024-12-04,-36.29999542236328,2,2,False,,24560.0,24563.0,0.008375237160049055
2024-12-05,0.0,0,0,True,trending_day_0.020,24580.400390625,24775.0,0.02044030154287164
2024-12-06,-36.25001525878906,2,2,False,,24780.44921875,24775.0,0.004842514969540507
2024-12-09,-46.149993896484375,2,2,False,,24743.400390625,24698.599609375,0.004774235313157469
2024-12-10,-19.00000762939453,2,2,False,,24717.0,24685.0,0.00661582742351859
2024-12-11,-38.349998474121094,2,2,False,,24690.94921875,24734.0,0.004663525037911524
2024-12-12,-24.25,2,2,False,,24723.849609375,24647.0,0.005519065910787834
2024-12-13,0.0,0,0,True,trending_day_0.025,24569.099609375,24860.0,0.025091699997716897
2024-12-16,-44.349998474121094,2,2,False,,24795.55078125,24720.150390625,0.006060361197527372
2024-12-17,-30.400009155273438,2,2,False,,24656.849609375,24401.0,0.012134322206847754
2024-12-18,-14.799999237060547,2,2,False,,24370.0,24269.400390625,0.009755231561848697
2024-12-19,-45.65000295639038,2,2,False,,23990.0,24021.0,0.00486997605322974
2024-12-20,0.0,0,0,True,trending_day_0.021,23956.349609375,23642.30078125,0.021418216651213778
2024-12-23,-35.29999923706055,2,2,False,,23787.0,23768.0,0.009841416650221053
2024-12-24,-46.29999542236328,2,2,False,,23760.05078125,23772.150390625,0.006408034204195686
2024-12-26,-42.29999923706055,2,2,False,,23815.150390625,23748.75,0.007603011464244346
2024-12-27,-27.94997787475586,2,2,False,,23974.44921875,24000.0,0.006056835719387215
2024-12-30,-20.59998321533203,2,2,False,,23942.150390625,23829.0,0.012394578155862344
2024-12-31,-14.899986267089844,2,2,False,,23689.650390625,23819.25,0.010481409438174426
2025-01-01,-17.25000762939453,2,2,False,,23770.0,23914.0,0.010155046182151599
