trade_date,entry_time,exit_time,direction,entry_straddle,exit_straddle,entry_ce,exit_ce,entry_pe,exit_pe,entry_z,exit_z,atm_strike,expiry,pnl_points,pnl_ce,pnl_pe,cost_points,exit_reason,bars_held
2024-10-29,2024-10-29 10:23:00,2024-10-29 10:33:00,1,236.8499984741211,242.09999084472656,119.94999694824219,101.69999694824219,116.9000015258789,140.39999389648438,-2.1647914711708993,-0.3369463020806246,24250.0,2024-10-31 00:00:00,-6.750007629394531,-18.25,23.49999237060547,12.0,target_revert,10
2024-10-29,2024-10-29 10:47:00,2024-10-29 10:51:00,-1,254.9000015258789,244.5,85.3499984741211,94.80000305175781,169.5500030517578,149.6999969482422,2.0318275726603554,0.10985574129435946,24250.0,2024-10-31 00:00:00,-1.5999984741210938,-9.450004577636719,19.850006103515625,12.0,target_revert,4
2024-10-30,2024-10-30 11:24:00,2024-10-30 11:28:00,-1,191.29999923706055,185.1999969482422,138.0,127.5999984741211,53.29999923706055,57.599998474121094,2.0204640186525245,-0.25287112079910146,24400.0,2024-10-31 00:00:00,-5.899997711181641,10.400001525878906,-4.299999237060547,12.0,target_revert,4
2024-10-30,2024-10-30 11:32:00,2024-10-30 11:37:00,1,180.4000015258789,184.5500030517578,116.9000015258789,125.80000305175781,63.5,58.75,-2.182284069097265,-0.23741088420672557,24400.0,2024-10-31 00:00:00,-7.849998474121094,8.900001525878906,-4.75,12.0,target_revert,5
2024-10-31,2024-10-31 10:49:00,2024-10-31 10:58:00,-1,85.55000305175781,76.25000095367432,14.25,15.300000190734863,71.30000305175781,60.95000076293945,2.2163919972728308,0.20711608270970994,24300.0,2024-10-31 00:00:00,-2.699997901916504,-1.0500001907348633,10.35000228881836,12.0,target_revert,9
2024-10-31,2024-10-31 12:15:00,2024-10-31 12:16:00,-1,89.49999713897705,83.60000038146973,8.550000190734863,8.350000381469727,80.94999694824219,75.25,2.6659009258029083,0.39231804538739257,24300.0,2024-10-31 00:00:00,-6.100003242492676,0.19999980926513672,5.6999969482421875,12.0,target_revert,1
2024-11-04,2024-11-04 10:15:00,2024-11-04 11:15:00,-1,447.74998474121094,519.6000061035156,121.44999694824219,87.25,326.29998779296875,432.3500061035156,2.8155327805291916,1.9333634598325322,24150.0,2024-11-07 00:00:00,-83.85002136230469,34.19999694824219,-106.05001831054688,12.0,max_hold,60
2024-11-04,2024-11-04 12:00:00,2024-11-04 12:22:00,1,459.90000915527344,467.25,102.05000305175781,93.25,357.8500061035156,374.0,-2.527521509259869,-0.39587361073165617,24150.0,2024-11-07 00:00:00,-4.6500091552734375,-8.800003051757812,16.149993896484375,12.0,target_revert,22
2024-11-05,2024-11-05 10:27:00,2024-11-05 10:35:00,1,356.25,367.4499969482422,134.60000610351562,119.55000305175781,221.64999389648438,247.89999389648438,-2.5357413197299614,-0.4554101729224053,24100.0,2024-11-07 00:00:00,-0.8000030517578125,-15.050003051757812,26.25,12.0,target_revert,8
2024-11-05,2024-11-05 11:24:00,2024-11-05 11:25:00,-1,378.05001068115234,380.8000030517578,116.0999984741211,115.19999694824219,261.95001220703125,265.6000061035156,3.225045698774006,3.4423380119007216,24100.0,2024-11-07 00:00:00,-14.749992370605469,0.9000015258789062,-3.649993896484375,12.0,stop_z_trend,1
2024-11-06,2024-11-06 10:36:00,2024-11-06 10:53:00,-1,275.14999771118164,228.0500030517578,53.45000076293945,65.69999694824219,221.6999969482422,162.35000610351562,2.0392050567421975,-0.8360531666733263,24450.0,2024-11-07 00:00:00,35.09999465942383,-12.249996185302734,59.34999084472656,12.0,mean_revert,17
2024-11-06,2024-11-06 11:52:00,2024-11-06 12:48:00,1,211.4499969482422,197.0999984741211,78.55000305175781,77.44999694824219,132.89999389648438,119.6500015258789,-2.2862945537481614,-0.4895737739770202,24450.0,2024-11-07 00:00:00,-26.349998474121094,-1.100006103515625,-13.249992370605469,12.0,target_revert,56
2024-11-07,2024-11-07 10:58:00,2024-11-07 11:17:00,1,143.64999961853027,156.9999942779541,13.399999618530273,10.100000381469727,130.25,146.89999389648438,-2.183674651864002,-0.23628693312277285,24350.0,2024-11-07 00:00:00,1.3499946594238281,-3.299999237060547,16.649993896484375,12.0,target_revert,19
2024-11-07,2024-11-07 12:25:00,2024-11-07 13:03:00,1,145.2000060081482,142.5500030517578,5.849999904632568,2.75,139.35000610351562,139.8000030517578,-2.324882295854228,-0.46963935393154976,24350.0,2024-11-07 00:00:00,-14.65000295639038,-3.0999999046325684,0.4499969482421875,12.0,target_revert,38
2024-11-08,2024-11-08 11:11:00,2024-11-08 11:24:00,1,315.3499984741211,323.5999984741211,98.0999984741211,90.3499984741211,217.25,233.25,-2.1370693036947848,0.8288158910336554,24300.0,2024-11-14 00:00:00,-3.75,-7.75,16.0,12.0,mean_revert,13
2024-11-08,2024-11-08 11:31:00,2024-11-08 11:46:00,-1,327.3499984741211,323.0999984741211,88.4000015258789,87.0999984741211,238.9499969482422,236.0,2.005370940380547,0.3691968395719989,24300.0,2024-11-14 00:00:00,-7.75,1.3000030517578125,2.9499969482421875,12.0,target_revert,15
2024-11-11,2024-11-11 10:24:00,2024-11-11 10:29:00,1,258.40000915527344,269.0,107.55000305175781,156.1999969482422,150.85000610351562,112.80000305175781,-2.0603983801067485,-0.3967314187018339,24200.0,2024-11-14 00:00:00,-1.4000091552734375,48.649993896484375,-38.05000305175781,12.0,target_revert,5
2024-11-11,2024-11-11 10:42:00,2024-11-11 10:56:00,1,260.0500030517578,264.5999984741211,162.75,164.4499969482422,97.30000305175781,100.1500015258789,-2.103183779468891,-0.3493823719123074,24200.0,2024-11-14 00:00:00,-7.450004577636719,1.6999969482421875,2.8499984741210938,12.0,target_revert,14
2024-11-12,2024-11-12 12:12:00,2024-11-12 12:13:00,-1,269.3000030517578,279.04999923706055,41.5,41.04999923706055,227.8000030517578,238.0,2.3503312717079567,3.6503689945280153,24300.0,2024-11-14 00:00:00,-21.749996185302734,0.4500007629394531,-10.199996948242188,12.0,stop_z_trend,1
