trade_date,entry_time,exit_time,direction,entry_straddle,exit_straddle,entry_straddle_pct,exit_straddle_pct,entry_ce,exit_ce,entry_pe,exit_pe,entry_z,exit_z,atm_strike,expiry,pnl_points,pnl_ce,pnl_pe,cost_points,exit_reason,bars_held
2024-10-29,2024-10-29 13:33:00,2024-10-29 14:00:00,1,221.39999389648438,231.75,0.009109554966458999,0.009520112698313618,138.39999389648438,164.0500030517578,83.0,67.69999694824219,-2.521059724958955,0.38295192915368775,24250.0,2024-10-31 00:00:00,-1.649993896484375,25.650009155273438,-15.300003051757812,12.0,mean_revert,27
2024-10-30,2024-10-30 12:05:00,2024-10-30 13:05:00,1,174.75,179.5500030517578,0.007150163666121113,0.007329888058059216,105.5,137.3000030517578,69.25,42.25,-2.9370233709175877,0.04018904168837178,24400.0,2024-10-31 00:00:00,-7.1999969482421875,31.800003051757812,-27.0,12.0,mean_revert,60
2024-10-31,2024-10-31 12:20:00,2024-10-31 13:20:00,-1,93.70000171661377,106.30000162124634,0.0038684880581694213,0.004392543970358959,6.300000190734863,3.6500000953674316,87.4000015258789,102.6500015258789,2.627564149154975,1.050748728123678,24300.0,2024-10-31 00:00:00,-24.59999990463257,2.6500000953674316,-15.25,12.0,max_hold,60
2024-11-04,2024-11-04 14:09:00,2024-11-04 15:00:00,1,438.04998779296875,407.39998626708984,0.01823153377337555,0.01691017708231321,104.0,122.3499984741211,334.04998779296875,285.04998779296875,-2.620246358046286,-1.9066795527976104,24150.0,2024-11-07 00:00:00,-42.650001525878906,18.349998474121094,-49.0,12.0,eod_force,51
2024-11-05,2024-11-05 11:29:00,2024-11-05 11:40:00,-1,390.00001525878906,409.9500045776367,0.016212846196582375,0.017064256757308823,111.30000305175781,108.3499984741211,278.70001220703125,301.6000061035156,2.856150191694226,4.064802365667276,24100.0,2024-11-07 00:00:00,-31.949989318847656,2.9500045776367188,-22.899993896484375,12.0,stop_z_trend,11
2024-11-08,2024-11-08 12:07:00,2024-11-08 12:34:00,-1,343.8999938964844,323.25,0.014223232958547665,0.013346049539822399,73.25,85.5,270.6499938964844,237.75,2.8299236489207225,-0.4120897083195232,24300.0,2024-11-14 00:00:00,8.649993896484375,-12.25,32.899993896484375,12.0,mean_revert,27
2024-11-11,2024-11-11 12:02:00,2024-11-11 13:02:00,1,254.0999984741211,244.29999542236328,0.010433604273389222,0.010045931976082988,165.4499969482422,141.9499969482422,88.6500015258789,102.3499984741211,-2.5421513222582477,-1.273984033424691,24200.0,2024-11-14 00:00:00,-21.800003051757812,-23.5,13.699996948242188,12.0,max_hold,60
2024-11-12,2024-11-12 12:40:00,2024-11-12 12:41:00,-1,298.4000129699707,307.1499938964844,0.012358666927727096,0.012727358703240385,34.45000076293945,33.75,263.95001220703125,273.3999938964844,4.169883776370332,4.6380130182133446,24300.0,2024-11-14 00:00:00,-20.749980926513672,0.7000007629394531,-9.449981689453125,12.0,stop_z_trend,1
2024-11-13,2024-11-13 12:47:00,2024-11-13 13:38:00,-1,250.10000038146973,230.94999313354492,0.010538069370980058,0.009725479508252845,31.100000381469727,27.299999237060547,219.0,203.64999389648438,3.3609270117721066,-0.24288211620102115,23850.0,2024-11-14 00:00:00,7.150007247924805,3.8000011444091797,15.350006103515625,12.0,mean_revert,51
2024-11-14,2024-11-14 11:14:00,2024-11-14 12:12:00,-1,277.99998784065247,227.49999690055847,0.011792402292335042,0.009626227371946997,2.950000047683716,3.049999952316284,275.04998779296875,224.4499969482422,2.743962871972211,-0.09405395679060581,23750.0,2024-11-14 00:00:00,38.499990940093994,-0.09999990463256836,50.59999084472656,12.0,mean_revert,58
