date,spot,total_gex,gex_z,gex_regime,max_pain,vix,daily_return
2025-09-05,24741.0,177655106.11066854,1.3762279771601145,positive,24750.0,10.78,0.0
2025-09-08,24773.15,155719673.83938277,1.1150832712367469,positive,24800.0,10.84,0.0
2025-09-09,24868.6,28816928.831281733,-0.4342345499723612,positive,24850.0,10.69,0.0
2025-09-10,24973.1,22581845.396692455,-0.4546983793192913,positive,25000.0,10.54,0.0040814521123022605
2025-09-11,25005.5,-14853327.566930294,-0.9003459624106956,negative,25000.0,10.36,0.0
2025-09-12,25114.0,-79406377.8190534,-1.557617869269538,negative,25100.0,10.12,0.0
2025-09-15,25069.2,92098815.30066165,0.4297397641511883,positive,25100.0,10.4,0.0
2025-09-16,25239.1,14538895.110852651,-0.4594114384048004,positive,25150.0,10.27,0.005146753785521661
2025-09-17,25330.25,33382359.98492384,-0.2187266333517907,positive,25250.0,10.25,0.005146753785521661
2025-09-18,25423.6,121074101.1375212,0.7253118317569186,positive,25350.0,9.89,0.0
2025-09-19,25327.05,204591698.1278996,1.6642108729065754,positive,25300.0,9.97,0.0
2025-09-22,25202.35,408131290.1395731,3.792533524164132,positive,25200.0,10.56,0.00480513916938612
2025-09-23,25169.5,56469437.21317507,-0.2842126596799692,positive,25200.0,10.63,0.0
2025-09-24,25056.9,74996540.5498971,-0.10290568505312328,positive,25100.0,10.52,0.0
2025-09-25,24890.85,213960618.0019283,1.18672222470127,positive,25000.0,10.78,-0.008085597180816476
2025-09-26,24654.7,132019276.29763037,0.3701585264674782,positive,24800.0,11.43,-0.008085597180816476
2025-09-29,24634.9,169449275.38019767,0.7141518887260919,positive,24750.0,11.37,0.0
2025-09-30,24611.1,30971071.90944079,-0.6183613636552837,positive,24700.0,11.07,0.0
2025-10-01,24836.3,-22863563.559499383,-1.1145171204537272,negative,24800.0,10.29,0.009028446513971368
2025-10-03,24894.25,-41671524.389515676,-1.283438951135437,negative,24900.0,10.06,0.0
2025-10-06,25077.65,29384501.157808363,-0.5266340150662412,positive,25000.0,10.19,0.0
2025-10-07,25108.3,38378993.89412871,-0.385753976774139,positive,25100.0,10.05,0.0020406617047450328
2025-10-08,25046.15,127681973.31147775,0.47055521894486896,positive,25100.0,10.31,0.0020406617047450328
2025-10-09,25181.8,41650780.42741663,-0.35140340979156587,positive,25150.0,10.12,0.0020406617047450328
2025-10-10,25285.35,-19530185.03671305,-0.9164460721440103,negative,25300.0,10.1,0.0020406617047450328
2025-10-13,25227.35,132846887.27286851,0.46696843900756607,positive,25200.0,11.01,0.0
2025-10-14,25145.5,74783466.53979829,-0.16400565800242248,positive,25200.0,11.16,0.0
2025-10-15,25323.55,3147446.1719409823,-0.8424105003609007,positive,25300.0,10.53,-0.0088047563182279
2025-10-16,25585.3,36975840.43753056,-0.5103197578670785,positive,25500.0,10.87,-0.0088047563182279
2025-10-17,25709.85,157733709.50075036,0.6411621185059482,positive,25600.0,11.63,0.0
2025-10-23,25891.4,171652323.58990204,0.7503264076491399,positive,25900.0,11.73,0.0
2025-10-24,25795.15,211202394.28690308,1.1581571143002718,positive,25800.0,11.59,8.149424133112083e-05
2025-10-27,25966.05,101887485.3444159,0.2664560452388358,positive,25950.0,11.86,8.149424133112083e-05
2025-10-28,25936.2,53414079.37986606,-0.38012911428268925,positive,25950.0,11.95,8.149424133112083e-05
2025-10-29,26053.9,23111977.971366286,-0.7501072224718807,positive,26000.0,11.97,8.149424133112083e-05
2025-10-30,25877.85,183073406.63197303,1.507576285214481,positive,25950.0,12.07,8.149424133112083e-05
