date,position,signal,regime,confidence,daily_return,cumulative_return
2024-06-09,1.0,bull_momentum,BULL,1.0,-0.0,1.0
2024-06-10,1.0,bull_momentum,BULL,1.0,0.000243,1.000243
2024-06-11,0.0,neutral_flat,NEUTRAL,1.0,0.002494,1.002738
2024-06-12,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.002738
2024-06-13,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.002738
2024-06-17,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.002738
2024-06-18,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.002738
2024-06-19,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.002738
2024-06-20,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.002738
2024-06-23,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.002738
2024-06-24,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.002738
2024-06-25,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.002738
2024-06-26,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.002738
2024-06-27,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.002738
2024-06-30,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.002738
2024-07-01,-0.5,neutral_overbought,NEUTRAL,1.0,-0.0,1.002738
2024-07-02,0.0,neutral_flat,NEUTRAL,1.0,-0.00336,0.999369
2024-07-03,-0.5,neutral_overbought,NEUTRAL,1.0,0.0,0.999369
2024-07-04,-0.5,neutral_overbought,NEUTRAL,1.0,-0.000446,0.998923
2024-07-07,-0.5,neutral_overbought,NEUTRAL,1.0,6.8e-05,0.99899
2024-07-08,-0.5,neutral_overbought,NEUTRAL,1.0,-0.002311,0.996682
2024-07-09,-0.5,neutral_overbought,NEUTRAL,1.0,0.00223,0.998905
2024-07-10,0.0,neutral_flat,NEUTRAL,1.0,0.000175,0.99908
2024-07-11,0.0,neutral_flat,NEUTRAL,1.0,0.0,0.99908
2024-07-14,-0.5,neutral_overbought,NEUTRAL,1.0,0.0,0.99908
2024-07-15,-0.5,neutral_overbought,NEUTRAL,1.0,-0.000535,0.998546
2024-07-17,-0.5,neutral_overbought,NEUTRAL,1.0,-0.003802,0.99475
2024-07-18,-0.5,neutral_overbought,NEUTRAL,1.0,0.005472,1.000193
2024-07-21,0.0,neutral_flat,NEUTRAL,1.0,0.000441,1.000635
2024-07-22,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.000635
2024-07-23,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.000635
2024-07-24,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.000635
2024-07-25,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.000635
2024-07-28,-0.5,neutral_overbought,NEUTRAL,1.0,0.0,1.000635
2024-07-29,-0.5,neutral_overbought,NEUTRAL,1.0,-0.000427,1.000208
2024-07-30,-0.5,neutral_overbought,NEUTRAL,1.0,-0.001884,0.998323
2024-07-31,-0.5,neutral_overbought,NEUTRAL,1.0,-0.001196,0.997129
2024-08-01,-0.5,neutral_overbought,NEUTRAL,1.0,0.005896,1.003008
2024-08-04,0.0,neutral_flat,NEUTRAL,1.0,0.013576,1.016625
2024-08-05,0.0,neutral_flat,NEUTRAL,0.9999,-0.0,1.016625
2024-08-06,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.016625
2024-08-07,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.016625
2024-08-08,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.016625
2024-08-11,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.016625
2024-08-12,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.016625
2024-08-13,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.016625
2024-08-15,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.016625
2024-08-18,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.016625
2024-08-19,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.016625
2024-08-20,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.016625
2024-08-21,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.016625
2024-08-22,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.016625
2024-08-25,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.016625
2024-08-26,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.016625
2024-08-27,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.016625
2024-08-28,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.016625
2024-08-29,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.016625
2024-09-01,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.016625
2024-09-02,-0.5,neutral_overbought,NEUTRAL,1.0,0.0,1.016625
2024-09-03,-0.5,neutral_overbought,NEUTRAL,1.0,0.001608,1.018259
2024-09-04,0.0,neutral_flat,NEUTRAL,1.0,0.001065,1.019344
2024-09-05,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.019344
2024-09-08,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.019344
2024-09-09,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.019344
2024-09-10,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.019344
2024-09-11,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.019344
2024-09-12,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.019344
2024-09-15,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.019344
2024-09-16,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.019344
2024-09-17,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.019344
2024-09-18,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.019344
2024-09-19,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.019344
2024-09-22,-0.5,neutral_overbought,NEUTRAL,1.0,0.0,1.019344
2024-09-23,-0.5,neutral_overbought,NEUTRAL,1.0,-2.6e-05,1.019317
2024-09-24,-0.5,neutral_overbought,NEUTRAL,1.0,-0.001227,1.018066
2024-09-25,-0.5,neutral_overbought,NEUTRAL,1.0,-0.004058,1.013935
2024-09-26,-0.5,neutral_overbought,NEUTRAL,1.0,0.000708,1.014653
2024-09-29,-0.5,neutral_overbought,NEUTRAL,1.0,0.00708,1.021837
2024-09-30,0.0,neutral_flat,NEUTRAL,1.0,0.00027,1.022113
2024-10-02,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.022113
2024-10-03,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.022113
2024-10-06,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.022113
2024-10-07,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.022113
2024-10-08,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.022113
2024-10-09,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.022113
2024-10-10,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.022113
2024-10-13,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.022113
2024-10-14,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.022113
2024-10-15,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.022113
2024-10-16,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.022113
2024-10-17,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.022113
2024-10-20,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.022113
2024-10-21,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.022113
2024-10-22,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.022113
2024-10-23,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.022113
2024-10-24,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.022113
2024-10-27,0.5,neutral_oversold,NEUTRAL,1.0,0.0,1.022113
2024-10-28,0.0,neutral_flat,NEUTRAL,1.0,0.002616,1.024788
2024-10-29,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.024788
2024-10-30,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.024788
2024-10-31,0.0,neutral_flat,NEUTRAL,1.0,0.0,1.024788
2024-11-03,0.0,neutral_flat,NEUTRAL,1.0,-0.0,1.024788
