date,daily_pnl,n_trades,max_intraday_dd,notional
2024-10-29,0.0,0,0.0,24346.099609375
2024-10-30,0.0,0,0.0,24417.69921875
2024-10-31,0.0,0,0.0,24422.0
2024-11-04,0.0,0,0.0,24314.099609375
2024-11-05,0.0,0,0.0,24060.849609375
2024-11-06,0.0,0,0.0,24369.19921875
2024-11-07,26.30078125,1,0.0,24542.75
2024-11-08,0.0,0,0.0,24215.0
2024-11-11,0.0,0,0.0,24106.150390625
2024-11-12,-30.974609375,1,30.974609375,24299.0
2024-11-13,0.0,0,0.0,23915.0
2024-11-14,0.0,0,0.0,23680.0
2024-11-18,0.0,0,0.0,23619.900390625
2024-11-19,0.0,0,0.0,23601.69921875
2024-11-21,0.0,0,0.0,23400.0
2024-11-22,0.0,0,0.0,23433.30078125
2024-11-25,0.0,0,0.0,24297.19921875
2024-11-26,0.0,0,0.0,24282.150390625
2024-11-27,0.0,0,0.0,24195.0
2024-11-28,0.0,0,0.0,24464.599609375
2024-11-29,0.0,0,0.0,24129.55078125
2024-12-02,0.0,0,0.0,24215.099609375
2024-12-03,0.0,0,0.0,24466.05078125
2024-12-04,0.0,0,0.0,24560.0
2024-12-05,0.0,0,0.0,24580.400390625
2024-12-06,0.0,0,0.0,24780.44921875
2024-12-09,0.0,0,0.0,24743.400390625
2024-12-10,0.0,0,0.0,24717.0
2024-12-11,0.0,0,0.0,24690.94921875
2024-12-12,0.0,0,0.0,24723.849609375
2024-12-13,0.0,0,0.0,24569.099609375
2024-12-16,0.0,0,0.0,24795.55078125
2024-12-17,0.0,0,0.0,24656.849609375
2024-12-18,0.0,0,0.0,24370.0
2024-12-19,0.0,0,0.0,23990.0
2024-12-20,106.5,1,0.0,23956.349609375
2024-12-23,0.0,0,0.0,23787.0
2024-12-24,0.0,0,0.0,23760.05078125
2024-12-26,0.0,0,0.0,23975.55078125
2024-12-27,0.0,0,0.0,23974.44921875
2024-12-30,0.0,0,0.0,23942.150390625
2024-12-31,0.0,0,0.0,23689.650390625
2025-01-01,0.0,0,0.0,23770.0
2025-01-02,0.0,0,0.0,23904.0
2025-01-03,0.0,0,0.0,24232.0
2025-01-06,-31.875,1,31.875,24117.400390625
2025-01-07,0.0,0,0.0,23833.0
2025-01-08,0.0,0,0.0,23764.80078125
2025-01-09,0.0,0,0.0,23721.150390625
2025-01-10,-54.875,1,54.875,23622.150390625
2025-01-13,0.0,0,0.0,23300.0
2025-01-14,0.0,0,0.0,23265.0
2025-01-15,0.0,0,0.0,23294.599609375
2025-01-16,0.0,0,0.0,23387.94921875
2025-01-17,0.0,0,0.0,23287.94921875
2025-01-20,0.0,0,0.0,23305.0
2025-01-21,-61.05078125,2,61.05078125,23423.75
2025-01-22,0.0,0,0.0,23125.0
2025-01-23,0.0,0,0.0,23141.19921875
2025-01-24,0.0,0,0.0,23281.900390625
2025-01-27,0.0,0,0.0,22975.19921875
2025-01-28,0.0,0,0.0,22944.94921875
2025-01-29,0.0,0,0.0,23026.5
2025-01-30,-33.1748046875,1,33.1748046875,23277.55078125
2025-01-31,0.0,0,0.0,23425.0
2025-02-01,-43.25,2,43.25,23615.0
2025-02-03,0.0,0,0.0,23372.30078125
2025-02-04,0.0,0,0.0,23550.0
2025-02-05,0.0,0,0.0,23830.849609375
2025-02-06,0.0,0,0.0,23796.19921875
2025-02-07,0.0,0,0.0,23696.849609375
2025-02-10,0.0,0,0.0,23565.0
2025-02-11,0.0,0,0.0,23420.099609375
2025-02-12,0.0,0,0.0,23140.19921875
2025-02-13,0.0,0,0.0,23173.0
2025-02-14,0.0,0,0.0,23195.0
2025-02-17,0.0,0,0.0,22852.099609375
2025-02-18,0.0,0,0.0,23003.44921875
2025-02-19,0.0,0,0.0,22894.0
2025-02-20,0.0,0,0.0,22909.55078125
2025-02-21,0.0,0,0.0,22914.80078125
2025-02-24,0.0,0,0.0,22720.150390625
2025-02-25,0.0,0,0.0,22592.80078125
2025-02-27,0.0,0,0.0,22709.30078125
2025-02-28,0.0,0,0.0,22513.30078125
2025-03-03,51.798828125,1,0.0,22348.900390625
2025-03-04,0.0,0,0.0,22118.0
