timestamp,equity,cash,gross_notional,unrealized_pnl
2026-01-22T16:54:47.941431+00:00,100000,100000,-0,-0
2026-01-22T16:54:48.944734+00:00,100000,100000,-0,-0
2026-01-22T16:54:49.964332+00:00,100000,100000,-0,-0
2026-01-22T16:54:50.965450+00:00,100000,100000,-0,-0
2026-01-22T16:54:51.995442+00:00,99998.19486438918,100000,4997.348707071619,4997.348707071619
2026-01-22T16:54:52.995459+00:00,100000,100000,4999.153842682432,4999.153842682432
2026-01-22T16:54:54.002297+00:00,99997.91281195,100000,4997.066654632429,4997.066654632429
2026-01-22T16:54:55.006354+00:00,99998.08204341351,100000,4997.235886095943,4997.235886095943
2026-01-22T16:54:56.006488+00:00,99998.347136352,100000,9997.70449304297,9997.70449304297
2026-01-22T16:54:57.014382+00:00,99998.90807867816,100000,14997.605898590911,4998.2654353691305
2026-01-22T16:54:58.014654+00:00,99999.17655888325,100000,13998.533466145418,4998.533915574229
2026-01-22T16:54:59.015316+00:00,99499.12048546702,100000,14498.476718585975,4498.477842157998
2026-01-22T16:55:00.015597+00:00,99518.56478226086,100000,14485.634501111983,-5485.295311097738
2026-01-22T16:55:01.015602+00:00,99999.47676905653,100000,15003.77278227641,-5004.383324302053
2026-01-22T16:55:02.017496+00:00,99999.32469457948,100000,15265.02120957265,5253.073476954471
2026-01-22T16:55:03.020346+00:00,99995.3228896261,100000,10259.660508078243,249.22429663606135
2026-01-22T16:55:04.040733+00:00,100999.2420716304,100000,14263.406653325634,-3746.79975225194
2026-01-22T16:55:05.044320+00:00,99992.70979699923,100000,20252.12621087474,249.88598495013503
2026-01-22T16:55:06.044488+00:00,99993.27837302675,100000,19305.639922209375,-4750.172993763767
2026-01-22T16:55:07.045402+00:00,99997.41282942439,100000,19306.306570260414,-4746.038537366139
2026-01-22T16:55:08.056385+00:00,100191.80987123794,100000,19098.822295268452,-4551.641495552569
2026-01-22T16:55:09.064683+00:00,100188.4894803893,100000,19095.501904419805,-4554.961886401219
2026-01-22T16:55:10.065398+00:00,101126.19822030357,100000,18032.98010470765,-3617.253146486941
2026-01-22T16:55:11.067454+00:00,99995.7288155247,100000,19308.473179797948,-4747.72255126582
2026-01-22T16:55:12.067484+00:00,99995.9061928884,100000,19308.182981458565,-4747.545173902113
2026-01-22T16:55:13.095341+00:00,99979.95577705684,100000,19292.205061173874,-4763.495589733677
2026-01-22T16:55:14.095472+00:00,99994.602498095,100000,19305.973570138438,-4748.848868695512
2026-01-22T16:55:15.096786+00:00,99942.67282211983,100000,19254.236425335126,-4800.778544670685
2026-01-22T16:55:16.106496+00:00,99839.31904857408,100000,19146.245199704972,-4904.132318216442
2026-01-22T16:55:17.106945+00:00,99995.85773206344,100000,14304.4031006395,252.91254933469986
2026-01-22T16:55:18.114500+00:00,99623.54051952927,100000,16147.232694925078,6148.041983352763
2026-01-22T16:55:19.115309+00:00,99996.14865410519,100000,21506.70672759317,1513.9558595037574
2026-01-22T16:55:20.116695+00:00,99998.18297578773,100000,21827.566552513134,-2222.4775323325184
2026-01-22T16:55:21.117322+00:00,99983.08610382276,100000,26812.83685295298,-7242.551996263543
2026-01-22T16:55:22.144326+00:00,100858.23438054825,100000,23366.218786015583,-8689.62514456792
2026-01-22T16:55:23.145589+00:00,99995.16037660706,100000,24504.24979714905,-9552.699148509106
2026-01-22T16:55:24.156472+00:00,100985.05260515092,100000,23496.179160585016,-8562.806919965255
2026-01-22T16:55:25.164336+00:00,99994.35337740426,100000,24505.908382580415,-9553.506147711918
2026-01-22T16:55:26.164469+00:00,99992.28500195197,100000,24501.836364828472,-9555.5745231642
2026-01-22T16:55:27.164487+00:00,99994.40599611543,100000,24505.95180624412,-9553.453529000735
2026-01-22T16:55:28.165808+00:00,99993.6443530506,100000,24505.390181302922,-9554.215172065573
2026-01-22T16:55:29.167437+00:00,99984.95523983729,100000,24327.976999969826,-9562.904285278873
2026-01-22T16:55:30.195275+00:00,99993.69570847794,100000,24507.60332491234,-9554.163816638224
2026-01-22T16:55:31.202324+00:00,100880.8299244828,100000,23394.660195221582,-8667.029600633374
2026-01-22T16:55:32.206479+00:00,100998.63281965273,100000,23501.252234667216,-8549.226705463432
2026-01-22T16:55:33.214415+00:00,100678.39575045565,100000,23785.415283638013,-8869.463774660526
2026-01-22T16:55:34.215354+00:00,99993.04103863044,100000,24506.23306852924,-9554.818486485732
2026-01-22T16:55:35.215431+00:00,99993.91769504287,100000,19507.104641112317,-4554.606363868932
2026-01-22T16:55:36.215757+00:00,100005.77140887216,100000,24496.00433861246,-9542.752650039645
2026-01-22T16:55:37.225166+00:00,100027.79023986887,100000,25778.765529219647,-8216.708275030565
2026-01-22T16:55:38.244370+00:00,100002.82812493833,100000,25579.79457453799,-8461.83041214138
2026-01-22T16:55:39.244390+00:00,99999.03787100443,100000,25584.555741170057,-8465.620666075274
2026-01-22T16:55:40.252466+00:00,99998.62880705507,100000,25584.146677220684,-8466.029730024648
2026-01-22T16:55:41.264286+00:00,99785.80189145428,100000,25371.264653217222,-8678.856645625423
2026-01-22T16:55:42.264445+00:00,100124.7477981337,100000,25293.343687079265,-8339.910738946
2026-01-22T16:55:43.265249+00:00,100000.09591964087,100000,13323.492651692079,-6788.811552419813
2026-01-22T16:55:44.265263+00:00,100001.33385036781,100000,13196.747955617393,-8054.817507581911
2026-01-22T16:55:45.265294+00:00,99998.20625521026,100000,8208.930434968323,-3055.375346384243
2026-01-22T16:55:46.265410+00:00,100000.10667770696,100000,8207.550899066593,-3053.4749238875297
2026-01-22T16:55:47.267341+00:00,99999.62497046895,100000,8207.395135123115,6946.56913205815
