timestamp,equity,cash,gross_notional,unrealized_pnl
2026-01-23T04:31:51.345578974+00:00,1000000,1000000,-0,-0
2026-01-23T04:31:52.580481261+00:00,1000000,1000000,-0,-0
2026-01-23T04:31:53.580744894+00:00,1000000,1000000,-0,-0
2026-01-23T04:31:54.580753839+00:00,1000000,1000000,-0,-0
2026-01-23T04:31:55.580807090+00:00,1000000,1000000,-0,-0
2026-01-23T04:31:56.580818820+00:00,1000000,1000000,-0,-0
2026-01-23T04:31:57.581205543+00:00,1000000,1000000,-0,-0
2026-01-23T04:31:58.830604451+00:00,1000000,1000000,-0,-0
2026-01-23T04:31:59.830609979+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:00.830750651+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:01.830946055+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:02.831086675+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:04.080742672+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:05.085196669+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:06.330480671+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:07.330676884+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:08.330716488+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:09.580495196+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:10.580536558+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:11.581495479+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:12.581506891+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:13.830506072+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:14.830637967+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:15.839256173+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:17.080579649+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:18.080586816+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:19.080733346+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:20.080872942+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:21.081206775+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:22.081207811+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:23.081317947+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:24.081334979+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:25.330749149+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:26.330760954+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:27.330770411+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:28.330781118+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:29.330830094+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:30.330895190+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:31.330900540+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:32.580533622+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:33.581081869+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:34.581281302+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:35.835529490+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:37.080687209+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:38.080745875+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:39.080762381+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:40.080912710+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:41.330443361+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:42.330596677+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:43.330632047+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:44.330784709+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:45.330877106+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:46.580401264+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:47.580598321+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:48.580912785+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:49.581330929+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:50.830315897+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:51.835887949+00:00,1000000,1000000,-0,-0
